Frequency  	Phase      
34911519.37 	-92.7133671 
34990110.38 	-92.7198236 
35068878.31 	-92.7262941 
35147823.55 	-92.7327786 
35226946.51 	-92.7392773 
35306247.6  	-92.7457901 
35385727.19 	-92.752317  
35465385.71 	-92.7588582 
35545223.56 	-92.7654136 
35625241.13 	-92.7719833 
35705438.83 	-92.7785673 
35785817.06 	-92.7851656 
35866376.24 	-92.7917783 
35947116.78 	-92.7984055 
36028039.07 	-92.805047  
36109143.53 	-92.8117031 
36190430.56 	-92.8183737 
36271900.59 	-92.8250589 
36353554.02 	-92.8317586 
36435391.26 	-92.838473  
36517412.73 	-92.8452021 
36599618.84 	-92.8519458 
36682010.01 	-92.8587043 
36764586.65 	-92.8654776 
36847349.19 	-92.8722657 
36930298.03 	-92.8790686 
37013433.61 	-92.8858864 
37096756.34 	-92.8927192 
37180266.64 	-92.8995669 
37263964.93 	-92.9064296 
37347851.64 	-92.9133073 
37431927.2  	-92.9202001 
37516192.02 	-92.927108  
37600646.53 	-92.9340311 
37685291.16 	-92.9409693 
37770126.34 	-92.9479228 
37855152.49 	-92.9548915 
37940370.05 	-92.9618755 
38025779.45 	-92.9688749 
38111381.12 	-92.9758896 
38197175.49 	-92.9829197 
38283163    	-92.9899653 
38369344.08 	-92.9970263 
38455719.16 	-93.0041029 
38542288.69 	-93.0111951 
38629053.09 	-93.0183028 
38716012.82 	-93.0254262 
38803168.31 	-93.0325652 
38890519.99 	-93.03972   
38978068.32 	-93.0468905 
39065813.73 	-93.0540768 
39153756.67 	-93.061279  
39241897.58 	-93.068497  
39330236.92 	-93.0757309 
39418775.11 	-93.0829808 
39507512.62 	-93.0902467 
39596449.89 	-93.0975286 
39685587.37 	-93.1048266 
39774925.51 	-93.1121406 
39864464.77 	-93.1194709 
39954205.59 	-93.1268173 
40044148.43 	-93.1341799 
40134293.75 	-93.1415588 
40224641.99 	-93.148954  
40315193.63 	-93.1563656 
40405949.11 	-93.1637935 
40496908.89 	-93.1712379 
40588073.44 	-93.1786988 
40679443.21 	-93.1861761 
40771018.67 	-93.19367   
40862800.28 	-93.2011805 
40954788.5  	-93.2087077 
41046983.8  	-93.2162515 
41139386.65 	-93.223812  
41231997.51 	-93.2313893 
41324816.85 	-93.2389834 
41417845.14 	-93.2465943 
41511082.86 	-93.2542221 
41604530.46 	-93.2618668 
41698188.43 	-93.2695285 
41792057.23 	-93.2772072 
41886137.35 	-93.2849029 
41980429.26 	-93.2926158 
42074933.43 	-93.3003457 
42169650.34 	-93.3080929 
42264580.48 	-93.3158573 
42359724.32 	-93.3236389 
42455082.34 	-93.3314378 
42550655.02 	-93.3392541 
42646442.86 	-93.3470878 
42742446.33 	-93.3549389 
42838665.91 	-93.3628074 
42935102.1  	-93.3706935 
43031755.38 	-93.3785972 
43128626.25 	-93.3865185 
43225715.18 	-93.3944574 
43323022.67 	-93.402414  
43420549.22 	-93.4103883 
43518295.32 	-93.4183805 
43616261.45 	-93.4263904 
43714448.13 	-93.4344182 
43812855.83 	-93.442464  
43911485.07 	-93.4505277 
44010336.33 	-93.4586094 
44109410.13 	-93.4667091 
44208706.95 	-93.474827  
44308227.3  	-93.482963  
44407971.69 	-93.4911171 
44507940.62 	-93.4992895 
44608134.6  	-93.5074802 
44708554.12 	-93.5156892 
44809199.71 	-93.5239165 
44910071.86 	-93.5321623 
45011171.09 	-93.5404265 
45112497.92 	-93.5487092 
45214052.84 	-93.5570105 
45315836.38 	-93.5653303 
45417849.04 	-93.5736688 
45520091.36 	-93.582026  
45622563.83 	-93.5904019 
45725266.99 	-93.5987966 
45828201.35 	-93.6072101 
45931367.42 	-93.6156425 
46034765.74 	-93.6240938 
46138396.83 	-93.6325641 
46242261.2  	-93.6410534 
46346359.39 	-93.6495618 
46450691.92 	-93.6580893 
46555259.31 	-93.6666359 
46660062.1  	-93.6752017 
46765100.82 	-93.6837868 
46870376    	-93.6923912 
46975888.17 	-93.7010149 
47081637.86 	-93.7096581 
47187625.61 	-93.7183206 
47293851.95 	-93.7270027 
47400317.42 	-93.7357043 
47507022.57 	-93.7444255 
47613967.92 	-93.7531664 
47721154.02 	-93.7619269 
47828581.42 	-93.7707072 
47936250.65 	-93.7795073 
48044162.25 	-93.7883272 
48152316.79 	-93.7971669 
48260714.79 	-93.8060267 
48369356.82 	-93.8149064 
48478243.42 	-93.8238061 
48587375.13 	-93.832726  
48696752.52 	-93.841666  
48806376.13 	-93.8506261 
48916246.52 	-93.8596065 
49026364.24 	-93.8686072 
49136729.86 	-93.8776283 
49247343.92 	-93.8866697 
49358207    	-93.8957315 
49469319.64 	-93.9048139 
49580682.42 	-93.9139168 
49692295.89 	-93.9230403 
49804160.61 	-93.9321845 
49916277.16 	-93.9413493 
50028646.11 	-93.9505349 
50141268.01 	-93.9597413 
50254143.44 	-93.9689686 
50367272.97 	-93.9782168 
50480657.17 	-93.9874859 
50594296.61 	-93.996776  
50708191.88 	-94.0060873 
50822343.54 	-94.0154196 
50936752.17 	-94.0247731 
51051418.35 	-94.0341478 
51166342.66 	-94.0435439 
51281525.69 	-94.0529612 
51396968.01 	-94.0624    
51512670.2  	-94.0718601 
51628632.86 	-94.0813418 
51744856.57 	-94.090845  
51861341.92 	-94.1003699 
51978089.49 	-94.1099164 
52095099.88 	-94.1194846 
52212373.67 	-94.1290745 
52329911.47 	-94.1386863 
52447713.86 	-94.14832   
52565781.44 	-94.1579756 
52684114.81 	-94.1676532 
52802714.56 	-94.1773528 
52921581.31 	-94.1870746 
53040715.63 	-94.1968185 
53160118.15 	-94.2065846 
53279789.46 	-94.216373  
53399730.17 	-94.2261837 
53519940.88 	-94.2360168 
53640422.2  	-94.2458723 
53761174.75 	-94.2557503 
53882199.12 	-94.2656509 
54003495.94 	-94.2755741 
54125065.82 	-94.2855199 
54246909.37 	-94.2954885 
54369027.21 	-94.3054798 
54491419.95 	-94.315494  
54614088.22 	-94.3255311 
54737032.63 	-94.3355912 
54860253.81 	-94.3456743 
54983752.37 	-94.3557804 
55107528.95 	-94.3659097 
55231584.17 	-94.3760622 
55355918.66 	-94.3862379 
55480533.04 	-94.3964369 
55605427.95 	-94.4066593 
55730604.01 	-94.4169051 
55856061.87 	-94.4271744 
55981802.15 	-94.4374673 
56107825.48 	-94.4477838 
56234132.52 	-94.4581239 
56360723.89 	-94.4684878 
56487600.24 	-94.4788755 
56614762.2  	-94.489287  
56742210.43 	-94.4997224 
56869945.56 	-94.5101818 
56997968.24 	-94.5206652 
57126279.12 	-94.5311727 
57254878.84 	-94.5417044 
57383768.07 	-94.5522603 
57512947.44 	-94.5628405 
57642417.61 	-94.5734451 
57772179.24 	-94.584074  
57902232.98 	-94.5947274 
58032579.5  	-94.6054054 
58163219.44 	-94.6161079 
58294153.47 	-94.6268351 
58425382.26 	-94.637587  
58556906.45 	-94.6483637 
58688726.73 	-94.6591653 
58820843.76 	-94.6699917 
58953258.2  	-94.6808432 
59085970.73 	-94.6917197 
59218982.01 	-94.7026213 
59352292.72 	-94.713548  
59485903.54 	-94.7245    
59619815.13 	-94.7354773 
59754028.17 	-94.74648   
59888543.35 	-94.7575081 
60023361.34 	-94.7685617 
60158482.83 	-94.7796409 
60293908.49 	-94.7907457 
60429639.02 	-94.8018762 
60565675.1  	-94.8130324 
60702017.42 	-94.8242145 
60838666.66 	-94.8354225 
60975623.52 	-94.8466565 
61112888.69 	-94.8579164 
61250462.87 	-94.8692025 
61388346.74 	-94.8805148 
61526541.01 	-94.8918533 
61665046.38 	-94.903218  
61803863.55 	-94.9146092 
61942993.21 	-94.9260268 
62082436.07 	-94.9374709 
62222192.84 	-94.9489416 
62362264.23 	-94.9604389 
62502650.93 	-94.971963  
62643353.67 	-94.9835138 
62784373.14 	-94.9950915 
62925710.08 	-95.0066962 
63067365.18 	-95.0183278 
63209339.18 	-95.0299865 
63351632.77 	-95.0416723 
63494246.69 	-95.0533853 
63637181.66 	-95.0651256 
63780438.39 	-95.0768933 
63924017.61 	-95.0886884 
64067920.06 	-95.100511  
64212146.45 	-95.1123612 
64356697.51 	-95.124239  
64501573.98 	-95.1361445 
64646776.59 	-95.1480778 
64792306.07 	-95.160039  
64938163.16 	-95.1720281 
65084348.59 	-95.1840452 
65230863.11 	-95.1960903 
65377707.46 	-95.2081637 
65524882.37 	-95.2202652 
65672388.6  	-95.2323951 
65820226.89 	-95.2445533 
65968397.98 	-95.25674   
66116902.62 	-95.2689553 
66265741.58 	-95.2811991 
66414915.59 	-95.2934716 
