Frequency  	Gain       
28451263.8  	-105.033281 
28515311.82 	-104.974341 
28579504.01 	-104.9154   
28643840.71 	-104.856456 
28708322.25 	-104.797512 
28772948.94 	-104.738565 
28837721.11 	-104.679617 
28902639.1  	-104.620668 
28967703.23 	-104.561717 
29032913.82 	-104.502764 
29098271.22 	-104.44381  
29163775.74 	-104.384854 
29229427.72 	-104.325896 
29295227.5  	-104.266937 
29361175.4  	-104.207976 
29427271.76 	-104.149013 
29493516.91 	-104.090049 
29559911.19 	-104.031083 
29626454.94 	-103.972115 
29693148.48 	-103.913146 
29759992.16 	-103.854175 
29826986.32 	-103.795202 
29894131.29 	-103.736228 
29961427.41 	-103.677252 
30028875.03 	-103.618274 
30096474.48 	-103.559294 
30164226.1  	-103.500313 
30232130.25 	-103.44133  
30300187.26 	-103.382345 
30368397.47 	-103.323358 
30436761.24 	-103.26437  
30505278.9  	-103.20538  
30573950.81 	-103.146388 
30642777.31 	-103.087394 
30711758.74 	-103.028398 
30780895.47 	-102.969401 
30850187.83 	-102.910402 
30919636.17 	-102.851401 
30989240.86 	-102.792398 
31059002.24 	-102.733393 
31128920.66 	-102.674386 
31198996.47 	-102.615378 
31269230.04 	-102.556367 
31339621.71 	-102.497355 
31410171.85 	-102.438341 
31480880.8  	-102.379325 
31551748.94 	-102.320307 
31622776.6  	-102.261287 
31693964.16 	-102.202265 
31765311.97 	-102.143241 
31836820.4  	-102.084216 
31908489.81 	-102.025188 
31980320.55 	-101.966158 
32052312.99 	-101.907127 
32124467.5  	-101.848093 
32196784.44 	-101.789057 
32269264.18 	-101.73002  
32341907.08 	-101.67098  
32414713.51 	-101.611939 
32487683.83 	-101.552895 
32560818.43 	-101.493849 
32634117.66 	-101.434802 
32707581.9  	-101.375752 
32781211.51 	-101.3167   
32855006.88 	-101.257646 
32928968.37 	-101.19859  
33003096.37 	-101.139532 
33077391.23 	-101.080472 
33151853.34 	-101.02141  
33226483.08 	-100.962345 
33301280.82 	-100.903279 
33376246.94 	-100.84421  
33451381.82 	-100.785139 
33526685.85 	-100.726066 
33602159.39 	-100.666991 
33677802.83 	-100.607913 
33753616.56 	-100.548834 
33829600.96 	-100.489752 
33905756.4  	-100.430668 
